rank,prev_rank,rider,team,points,manager
169,397,RACCAGNI NOVIERO Andrea,Soudal Quick-Step,304,
170,124,GROßSCHARTNER Felix,UAE Team Emirates - XRG,303,
171,294,DONOVAN Mark,Pinarello Q36.5 Pro Cycling Team,303,
172,731,L'HOTE Antoine,Decathlon CMA CGM Team,302,
173,91,ABRAHAMSEN Jonas,Uno-X Mobility,302,Gemini's Hipsters
174,215,GILMORE Brady,NSN Cycling Team,300,
175,157,CARUSO Damiano,Bahrain - Victorious,298,
176,611,HOBBS Noah,EF Education - EasyPost,298,
177,420,DE GENDT Aimé,Pinarello Q36.5 Pro Cycling Team,296,
178,525,PERICAS Adrià,UAE Team Emirates - XRG,294,
179,260,LAMPERTI Luke,EF Education - EasyPost,293,Gemini's Hipsters
180,207,MIQUEL Pau,Bahrain - Victorious,293,
181,340,LOOCKX Lander,Unibet Rose Rockets,292,
182,119,CANAL Carlos,Movistar Team,291,
183,243,HARPER Chris,Pinarello Q36.5 Pro Cycling Team,289,
184,341,FOSS Tobias,Netcompany INEOS,288,
185,231,VERMEERSCH Gianni,Red Bull - BORA - hansgrohe,287,
186,560,VANSEVENANT Mauri,Soudal Quick-Step,286,
187,301,FINN Lorenzo Mark,Red Bull - BORA - hansgrohe Rookies,286,
188,315,BREUILLARD Nicolas,TotalEnergies,285,
189,54,HIRSCHI Marc,Tudor Pro Cycling Team,284,Joe
190,82,MARTIN Guillaume,Groupama - FDJ United,283,
191,399,ARTZ Huub,Lotto Intermarché,282,
192,223,RODRÍGUEZ Carlos,Netcompany INEOS,282,
193,281,GAUTHERAT Pierre,Decathlon CMA CGM Team,281,
194,37,JEANNIÈRE Emilien,TotalEnergies,281,Dave
195,600,VERSTRYNGE Emiel,Alpecin - Premier Tech,281,
196,85,DEL GROSSO Tibor,Alpecin - Premier Tech,281,Campbell
197,274,MÜHLBERGER Gregor,Decathlon CMA CGM Team,279,
198,173,VAN GILS Maxim,Red Bull - BORA - hansgrohe,278,
199,482,QUINTANA Nairo,Movistar Team,277,
200,495,HEIDUK Kim,Netcompany INEOS,273,
201,162,HOFSTETTER Hugo,NSN Cycling Team,272,
202,109,MOSCHETTI Matteo,Pinarello Q36.5 Pro Cycling Team,268,Andy
203,116,AULAR Orluis,Movistar Team,268,
204,412,BRAZ AFONSO Clément,Groupama - FDJ United,268,
205,221,WELSFORD Sam,Netcompany INEOS,267,
206,263,COBO Iván,Equipo Kern Pharma,266,
207,71,VAN WILDER Ilan,Soudal Quick-Step,266,
208,822,BIESTERBOS Frits,Team Picnic PostNL,264,
209,144,ZAMBANINI Edoardo,Bahrain - Victorious,262,
210,197,TILLER Rasmus,Uno-X Mobility,262,
211,620,ROMELE Alessandro,XDS Astana Team,261,
212,118,VAN POPPEL Danny,Red Bull - BORA - hansgrohe,259,
213,530,DEBRUYNE Ramses,Alpecin - Premier Tech,259,
214,280,VERCHER Mattéo,TotalEnergies,259,
215,360,CEPEDA Jefferson Alveiro,Movistar Team,253,
216,222,SOBRERO Matteo,Lidl - Trek,252,
217,219,MOHORIČ Matej,Bahrain - Victorious,251,
218,738,SLOCK Liam,Lotto Intermarché,251,
219,191,POELS Wout,Unibet Rose Rockets,250,
220,149,CASTRILLO Pablo,Movistar Team,249,
221,339,BOGUSŁAWSKI Marceli,ATT Investments,249,
222,491,TESSON Jason,TotalEnergies,248,
223,4,ALMEIDA João,UAE Team Emirates - XRG,248,Andy
224,589,SHMIDT Artem,Netcompany INEOS,248,
225,198,TEUTENBERG Tim Torn,Lidl - Trek,246,
226,216,KOPECKÝ Matyáš,Unibet Rose Rockets,244,
227,879,PESENTI Thomas,Team Polti VisitMalta,243,
228,1139,BORGO Alessandro,Bahrain - Victorious,243,
229,48,FORTUNATO Lorenzo,XDS Astana Team,242,Nick
230,94,SHEFFIELD Magnus,Netcompany INEOS,241,
231,547,GUALDI Simone,Lotto Intermarché,241,
232,678,DEWULF Stan,Decathlon CMA CGM Team,240,
233,370,KRAGH ANDERSEN Søren,Lidl - Trek,240,
234,104,KULSET Johannes,Uno-X Mobility,239,
235,458,SEPÚLVEDA Eduardo,Li Ning Star,239,
236,156,BALLERINI Davide,XDS Astana Team,236,
237,130,BETTIOL Alberto,XDS Astana Team,236,
238,550,MARTÍN Gotzon,Euskaltel - Euskadi,232,
239,139,TURNER Ben,Netcompany INEOS,232,
240,312,THIJSSEN Gerben,Alpecin - Premier Tech,231,
241,72,WRIGHT Fred,Pinarello Q36.5 Pro Cycling Team,231,Campbell
242,0,JEŽEK Václav,Kasper crypto4me,230,
243,226,ENGELHARDT Felix,Team Jayco AlUla,229,
244,307,VAN MOER Brent,Pinarello Q36.5 Pro Cycling Team,229,
245,97,ROMO Javier,Movistar Team,228,
246,618,CRABBE Tom,Team Flanders - Baloise,228,
247,645,GUDMESTAD Tord,Decathlon CMA CGM Team,226,
248,531,GAVIRIA Fernando,Caja Rural - Seguros RGA,223,
249,622,PESCADOR Diego,Movistar Team,222,
250,417,TOLIO Alex,Bardiani CSF 7 Saber,222,
251,297,SVESTAD-BÅRDSENG Embret,Netcompany INEOS,221,
252,561,MUNTON Byron,Modern Adventure Pro Cycling,220,
253,1111,HIRT Jan,NSN Cycling Team,219,
254,261,BERRADE Urko,Equipo Kern Pharma,218,
255,256,STORK Florian,Tudor Pro Cycling Team,218,
256,388,VAN DIJKE Mick,Red Bull - BORA - hansgrohe,218,
257,744,ANTUNES Tiago,Efapel Cycling,218,
258,289,ACKERMANN Pascal,Team Jayco AlUla,217,
259,126,DUJARDIN Sandy,TotalEnergies,217,
260,182,TARLING Joshua,Netcompany INEOS,216,Nick
261,612,CAMPRUBÍ Marcel,Pinarello Q36.5 Pro Cycling Team,216,
262,435,BRAET Vito,Lotto Intermarché,215,
263,854,MACÍAS César,Burgos Burpellet BH,214,
264,501,IZQUIERDO Clément,Cofidis,214,
265,866,BETTLES Carter,Roojai Insurance Winspace,213,
266,1801,BRAVO Henrique,Soudal Quick-Step Devo Team,212,
267,56,PRODHOMME Nicolas,Decathlon CMA CGM Team,211,
268,158,DVERSNES LAVIK Fredrik,Uno-X Mobility,210,
269,265,BOL Cees,Decathlon CMA CGM Team,209,
270,427,DECOMBLE Maxime,Groupama - FDJ United,207,
271,195,BIERMANS Jenthe,Cofidis,207,
272,142,TRONCHON Bastien,Groupama - FDJ United,207,
273,389,OLDANI Stefano,Caja Rural - Seguros RGA,206,
274,208,HOOLE Daan,Decathlon CMA CGM Team,206,
275,416,LEITÃO Iúri,Caja Rural - Seguros RGA,205,
276,278,WIDAR Jarno,Lotto Intermarché,205,Joe
277,45,MATTHEWS Michael,Team Jayco AlUla,204,
278,367,PAGE Hugo,Cofidis,204,
279,1062,BURNETT Josh,Burgos Burpellet BH,204,
280,1012,MEEHAN Jamie,Cofidis,203,
281,387,MARCELLUSI Martin,Bardiani CSF 7 Saber,203,
282,575,UMBA Santiago,Solution Tech NIPPO Rali,203,
283,93,LECERF Junior,Soudal Quick-Step,201,
284,804,KONYCHEV Alexander,China Anta - Mentech Cycling Team,201,
285,362,CAICEDO Jonathan Klever,Wheeltop Rotor Chengdu Team,201,
286,154,BLIKRA Erlend,Uno-X Mobility,200,
287,76,WATSON Samuel,Netcompany INEOS,199,
288,244,GARCÍA CORTINA Iván,Movistar Team,197,
289,145,VAN DEN BERG Marijn,EF Education - EasyPost,197,
290,368,VERONA Carlos,Lidl - Trek,197,
291,133,SALBY Alexander,Li Ning Star,196,
292,369,GAROFOLI Gianmarco,Soudal Quick-Step,196,
293,148,MOLANO Juan Sebastián,UAE Team Emirates - XRG,194,
294,283,MOLENAAR Alex,Caja Rural - Seguros RGA,194,
295,586,AERTS Toon,Lotto Intermarché,194,
296,79,GATE Aaron,XDS Astana Team,193,
297,210,REX Laurenz,Soudal Quick-Step,192,
298,983,VAN KERCKHOVE Matisse,Team Visma | Lease a Bike Development,192,
299,1203,BALMER Alexandre,Solution Tech NIPPO Rali,191,
300,183,MARIT Arne,Red Bull - BORA - hansgrohe,188,
301,0,MAGAGNOTTI Alessio,Red Bull - BORA - hansgrohe Rookies,188,
302,356,RUSSO Clément,Groupama - FDJ United,188,
303,22,HEALY Ben,EF Education - EasyPost,188,Cameron
304,125,SOLER Marc,UAE Team Emirates - XRG,184,
305,385,ZINGLE Axel,Team Visma | Lease a Bike,184,
306,131,MENTEN Milan,Lotto Intermarché,184,
307,245,NYCH Artem,Anicolor / Campicarn,184,
308,552,CADENA Edgar David,Team Storck - MRW Bau,183,
309,504,CEPEDA Jefferson Alexander,EF Education - EasyPost,182,
310,524,BENNETT George,NSN Cycling Team,182,
311,905,JOHANNINK Jelle,Unibet Rose Rockets,182,
312,151,WITHEN PHILIPSEN Albert,Lidl - Trek,182,
313,401,PEDERSEN Rasmus Søjberg,Decathlon CMA CGM Team,181,
314,455,VAN DER TUUK Axel,Euskaltel - Euskadi,180,
315,567,WENZEL Mats,Equipo Kern Pharma,179,
316,227,BARCELÓ Fernando,Caja Rural - Seguros RGA,178,
317,308,PARRA José Félix,Caja Rural - Seguros RGA,178,
318,106,BAGIOLI Andrea,Lidl - Trek,177,
319,80,MALUCELLI Matteo,XDS Astana Team,177,
320,88,BENOOT Tiesj,Decathlon CMA CGM Team,177,
321,445,UHLIG Henri,Alpecin - Premier Tech,174,
322,1010,DATI Tommaso,Team UKYO,173,
323,327,ZANONCELLO Enrico,Bardiani CSF 7 Saber,173,
324,213,QUARTUCCI Lorenzo,Burgos Burpellet BH,173,
325,206,ADRIÀ Roger,Movistar Team,173,
326,218,DÍAZ José Manuel,Burgos Burpellet BH,173,
327,518,SWEENY Harry,EF Education - EasyPost,172,
328,675,EDDY Patrick,Team Brennan,171,
329,571,VADIC Baptiste,TotalEnergies,171,
330,172,ARMIRAIL Bruno,Team Visma | Lease a Bike,169,
331,199,DELBOVE Joris,TotalEnergies,168,
332,205,MIHKELS Madis,EF Education - EasyPost,167,
333,852,QUINN Sean,EF Education - EasyPost,167,
334,442,CAVAGNA Rémi,Groupama - FDJ United,166,
335,293,HERRADA Jesús,Burgos Burpellet BH,165,
336,526,COVILI Luca,Bardiani CSF 7 Saber,164,
337,785,THIERRY Pierre,TotalEnergies,164,
